X,Y,PDV/ HIBRI,MARCA (IZZ,REGI�N O,HUB,CADENA,IZ_ID PDV,Nombre del,Direcci�,LATITUD,LONGITUD,ESTATUS,icon_url
21.88270455,-102.2965825,LOCAL,IZZI,OCCIDENTE,AGUASCALIENTES,PLAZA DE LA TECNOLOGIA,IZ-02436,PLAZA DE LA TECNOLOG�A AGS,"ANDADOR ALLENDE  NUM 106,LOC.60 PB OTE. COL. CENTRO C.P. 20000, AGUASCALIENTES, AGUASCALIENTES (PLAZA DE LA TECNOLOGIA AGUASCALIENTES)",21.882704550000000,-102.296582500000000,CERRADO,./0.png
-94.474345,18.143926,LOCAL VENTAS,IZZI,SURESTE,VERACRUZ,SORIANA,IZ-00341,SORIANA EL PALMAR,"SORIANA PLAZA EL PALMAR AV DE LAS PALMAS   #101  LOC. 6 Y 7COL  PARAISO COATZACOLACOS VERACRUZ, C.P. 96520 (MALL COATZACOALCOS)",-94.474345000000000,18.143926000000000,CERRADO,./0.png
-99.02803407,19.61909466,MODULO VENTAS,IZZI,METROPOLITANA,ECATEPEC,SORIANA,IZ-03434,SORIANA TECAMAC 1,AV. JOSE MARIA PINO SUARES 4 SANTO TOMAS CHICONAUTLA TECAMAC DE FELIPE VIALLNUEVA MEXICO CP.55765,-99.028034070000004,19.619094659999998,ABIERTO,./0.png
-100.922711,25.43278226,PDV,INTERCAMBIO IZZI,NORESTE,SALTILLO,CENTRO COMERCIAL,IZ-INTER10126,MI PLAZA MIRASIERRA,"BOULEVARD FUNDADORES ESQUINA BOULVARD MIRASIERRA LOCAL LE-10, SALTILLO, COAHUILA",-100.922711000000007,25.432782260000000,INTERCAMBIO,./0.png
25.79707713,-100.5869895,PDV,INTERCAMBIO IZZI,NORESTE,MONTERREY,HEB,IZ-INTER10121,MI TIENDA GARCIA,"HEBERTO CASTILLO 101, VILLA  CENTROAMERICANA I, TLAH�AC, 13278 CIUDAD DE M�XICO, CDMX",25.797077130000002,-100.586989500000001,INTERCAMBIO,./0.png
25.67781114,-100.4098892,PDV,INTERCAMBIO IZZI,NORESTE,MONTERREY,HEB,IZ-INTER10120,HEB SANTA CATARINA,"BLVD GUSTAVO DIAZ ORDAZ 108, LOS TREVI�O, 66150 SANTA CATARINA, N.L.",25.677811139999999,-100.409889199999995,INTERCAMBIO,./0.png
25.7165564,-100.2472631,PDV,INTERCAMBIO IZZI,NORESTE,MONTERREY,HEB,IZ-INTER10118,HEB LOS MORALES,"Av. FELIX GALVAN 800, HACIENDA LOS MORALES 3ER SECTOR, 66495 SAN NICOLAS DE LOS GARZA, N.L.",25.716556400000002,-100.247263099999998,INTERCAMBIO,./0.png
25.64428467,-100.1731889,PDV,INTERCAMBIO IZZI,NORESTE,MONTERREY,HEB,IZ-INTER10115,MI TIENDITA ELOY CAVAZOS,"AV ELOY CAVAZOS 7750, S.C.T., 67199 GUADALUPE, N.L.",25.644284670000001,-100.173188900000000,INTERCAMBIO,./0.png
0,0,PDV,INTERCAMBIO IZZI,NORESTE,MATAMOROS,HEB,IZ-INTER10108,HEB MATAMOROS,"AV PEDRO CARDENAS 1901, VICTORIA, 87390 HEROICA MATAMOROS, TAMPS.",0.000000000000000,0.000000000000000,INTERCAMBIO,./0.png
22.25166982,-97.8654285,PDV,INTERCAMBIO IZZI,NORESTE,TAMPICO,HEB,IZ-INTER10107,HEB EJERCITO,"AV. EJERCITO MEXICANO 717, MINERVA, 89120 TAMPICO, TAMPS.",22.251669820000000,-97.865428499999993,INTERCAMBIO,./0.png
27.51672216,-99.5589379,PDV,INTERCAMBIO IZZI,NORESTE,NUEVO LAREDO,HEB,IZ-INTER10122,MI TIENDA REVOLUCI�N,zin,27.516722160000000,-99.558937900000004,INTERCAMBIO,./0.png
-99.09947802,19.4773812,PDV,INTERCAMBIO IZZI,METROPOLITANA,CENTRO,CENTRO COMERCIAL,IZ-INTER10125,PARQUE TEPEYAC,"EDUARDO MOLINA 6730, GRANJAS MODERNAS, GUSTAVO A. MADERO, 07460 CIUDAD DE MEXICO, CDMX",-99.099478020000006,19.477381200000000,INTERCAMBIO,./0.png
19.510238,-99.23422029,PDV,IZZI,METROPOLITANA,SATELITE,CENTRO COMERCIAL,IZ-00303,PLAZA SATELITE,"CIRCUITO CENTRO COMERCIAL  NUM 2252, CIUDAD SATELITE, MUNICIPIO DE NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, MEXICO C.P. 53100",19.510238000000001,-99.234220289999996,ABIERTO,./0.png
19.3963697,-99.1808866,PDV,IZZI,METROPOLITANA,VALLE,CENTRO COMERCIAL,IZ-00301,METROPOLI PATRIOTISMO,"AVENIDA PATRIOTISMO NUM 229  LOC. K- 15 COL. SAN PEDRO DE LOS PINOS, DEL. BENITO JUAREZ, MEXICO, DISTRITO FEDERAL EL CENTRO COMERCIAL METROPOLI PATRIOSTISMO",19.396369700000001,-99.180886599999994,ABIERTO,./0.png
19.4958201,-99.249214,PDV,IZZI,METROPOLITANA,ARBOLEDAS,CENTRO COMERCIAL,IZ-03432,GRAN TERRAZA LOMAS VERDES,"GRAN TERRAZA LOMAS VERDES, CALLE COLINA DE LA PAZ NUM 25, FRACCIONAMIENTO BOULEVARES, MUNICIPIO DE NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, C.P. 53140",19.495820100000000,-99.249213999999995,ABIERTO,./0.png
20.61517536,-100.3913437,PDV,IZZI,NORESTE,QUERETARO,CENTRO COMERCIAL,IZ-01724,PLAZA DEL PARQUE,"PROLONGACION CORREGIDORA  NORTE NUM 691 PASILLO COL. PLAZA DEL PARQUE, SANTIAGO DE QUERETARO, QRO.",20.615175359999999,-100.391343699999993,ABIERTO,./0.png
19.3611003,-99.2735972,PDV,IZZI,METROPOLITANA,SANTA FE,CENTRO COMERCIAL,IZ-02976,CENTRO SANTA FE 2,"CENTRO COMERCIAL SANTA FE AV.VASCO DE QUIROGA NUM 3800  LOC. ACO3-08 COL. ANTIGUA MINA  LA TOTOLAPA, DEL. CUAJIMALPA, C.P. 05109, MEXICO, D.F.(MODULO 1)",19.361100300000000,-99.273597199999998,ABIERTO,./0.png
19.2874313,-99.7015641,PDV,IZZI,METROPOLITANA,TOLUCA,WALMART,IZ-03011,WSC ZINACANTEPEC,"BOULEVARD ADOLFO LOPEZ MATEOS NUM 117, COL. OJUELOS, ZINANCATEPEC, C.P. 51350",19.287431300000001,-99.701564099999999,ABIERTO,./0.png
19.292946,-99.123807,PDV,IZZI,METROPOLITANA,TLALPAN,WALMART,IZ-02244,WSC VILLA COAPA,"AV. CANAL DE MIRAMONTES NUM  3520 COL. SAN BARTOLO COAPA, C.P. 14390, CIUDAD DE MEXICO",19.292946000000001,-99.123806999999999,ABIERTO,./0.png
19.3449447,-99.1826634,PDV,IZZI,METROPOLITANA,CENTRO DE ACOPIO,WALMART,IZ-02472,WSC TAXQUENA,"MIGUEL A. DE QUEVEDO NUM 175 COL. CHIMALISTAC, DEL. COYOACAN, C.P. 01070, MEXICO, D.F.",19.344944699999999,-99.182663399999996,ABIERTO,./0.png
19.51541167,-99.23109664,PDV,IZZI,METROPOLITANA,SATELITE,WALMART,IZ-02243,WSC SATELITE,"CIRCUITO 19 METALURGISTAS 2 , CIUDAD SATELITE , NAUCALPAN C.P. 53100 , ENTRE LAS CALLES DE C CIENTIFICOS Y BLVD M A CAMACHO , NAUCALPAN ESTADO DE MEXICO",19.515411669999999,-99.231096640000004,ABIERTO,./0.png
19.852595,-90.528896,PDV,IZZI,SURESTE,CAMPECHE,WALMART,IZ-03189,WSC CAMPECHE,"AV. MARIA LAVALLE URBINA NUM 35 COL. AHKIN PEACH C.P. 24014, CAMPECHE,",19.852595000000001,-90.528896000000003,ABIERTO,./0.png
19.3516625,-99.5933856,PDV,IZZI,METROPOLITANA,TOLUCA,WALMART,IZ-03015,WSC SANTIN,"VIALIDAD TOLUCA-NAUCALPAN NUM 1101, SAN MATEO OTZACATIPAN, TOLUCA, ESTADO DE MEXICO, C.P. 50200",19.351662500000000,-99.593385600000005,ABIERTO,./0.png
28.63738347,-106.0753129,PDV,IZZI,PACIFICO,CHIHUAHUA,TIENDAS DE SOL,IZ-02838,WOOLWORTH 215 CHIHUAHUA,"WOOLWORTH CHIHUAHUA, CALLE VICTORIA Y 3A 108, CHIHUAHUA, CHIHUAHUA, C.P. 31000",28.637383470000000,-106.075312900000000,ABIERTO,./0.png
23.65740673,-100.638423,PDV,IZZI,NORESTE,PM NORTE,WALMART,IZ-02506,WM SLP ARBOLEDAS (MATEHUALA),"AV. DE LAS AMERICAS NUM 302, FRACCIONAMIENTO ARBOLEDAS, MATEHUALA, SAN LUIS POTOSI, C.P. 78760",23.657406730000002,-100.638423000000003,ABIERTO,./0.png
22.1374013,-101.0202647,PDV,IZZI,NORESTE,SAN LUIS POTOS�,WALMART,IZ-01627,WM SLP (TANGAMANGA),"AV. DR. SALVADOR NAVA NUM 3135 COL. COLINAS DEL PARQUE SAN LUIS POTOSI, C.P. 78110",22.137401300000001,-101.020264699999998,ABIERTO,./0.png
19.69873559,-98.98018615,PDV,IZZI,METROPOLITANA,ECATEPEC,WALMART,IZ-02016,WSC SAN JOSE TECAMAC,"CARRETERA FEDERAL MEXICO PACHUCA KIM 36.5 ENTRE CALLE 0 Y 0 COLONIA HUEYOTENCO C.P. 55740, TECAMAC ESTADO DE MEXICO",19.698735589999998,-98.980186149999994,ABIERTO,./0.png
19.6055237,-99.1906205,PDV,IZZI,METROPOLITANA,CUAUTITLAN,WALMART,IZ-02933,WSC PERINORTE,"AUTOPISTA MEXICO-QUERETARO KM. 30.2 ENTRE LAS CALLES AV. CENTRAL Y CARRETERA CUAUTITLAN TLALNEPANTLA, COL. SAN MARTIN TEPETLIXPAN C.P. 54763, CUAUTITLAN IZCALLI, ESTADO DE MEXICO",19.605523699999999,-99.190620499999994,ABIERTO,./0.png
20.58342009,-101.2245325,PDV,IZZI,NORESTE,SALAMANCA,WALMART,IZ-03248,WM Salamanca,"Blvd. Clouthier, 1702, Col. El Monte, C.P. 36720, Salamanca, Guanajuato",20.583420090000001,-101.224532499999995,ABIERTO,./0.png
19.28401885,-99.17627545,PDV,IZZI,METROPOLITANA,TLALPAN,WALMART,IZ-02356,WSC PATIO TLALPAN,"AV. INSURGENTES SUR NO. 4177, SANTA URSULA XITLA, C.P.
14420, TLALPAN, CIUDAD DE M�XICO",19.284018849999999,-99.176275450000006,ABIERTO,./0.png
19.6267768,-99.294512,PDV,IZZI,METROPOLITANA,ARBOLEDAS,WALMART,IZ-02937,WSC NICOLAS ROMERO,"BLVD. ARTURO MONTIEL ROJAS S/N KM. 10 + 700 COL. AMPLIACION VISTA HERMOSA, C.P. 54414, NICOLAS ROMERO ESTADO DE MEXICO",19.626776799999998,-99.294511999999997,ABIERTO,./0.png
